,Author,ISBN,Previous Rank,Price,Rank,Title,Weeks on List,Category
223,Celeste Ng,9780735224292.0,4.0,27.0,4,Little Fires Everywhere,18.0,Hardcover Fiction
224,Walter Isaacson,9781501139154.0,4.0,35.0,4,Leonardo da Vinci,13.0,Hardcover Nonfiction
225,James Patterson,9781478944782.0,5.0,9.99,4,Never Never,3.0,Mass Market
226,Anthony Doerr,9781501173219.0,5.0,17.0,4,All the Light We Cannot See,41.0,Trade Paperback Fiction
227,Atul Gawande,9781250076229.0,6.0,16.0,4,Being Mortal,19.0,Trade Paperback Nonfiction
228,Holly Black,9780316310277.0,,18.99,4,The Cruel Prince,,Young Adult
229,Kelly Barnhill,9781616205676.0,,16.95,5,The Girl Who Drank the Moon,,Early & Middle
230,Amor Towles,9780670026197.0,2.0,27.0,5,A Gentleman in Moscow,71.0,Hardcover Fiction
231,Tiffany Haddish,9781501181825.0,6.0,26.0,5,The Last Black Unicorn,3.0,Hardcover Nonfiction
232,Doug Stanton,9781501179952.0,8.0,9.99,5,12 Strong,3.0,Mass Market
233,Ruth Ware,9781501132957.0,4.0,16.0,5,The Woman in Cabin 10,40.0,Trade Paperback Fiction
234,Doug Stanton,9781501178511.0,4.0,18.0,5,12 Strong,3.0,Trade Paperback Nonfiction
235,Nicola Yoon,9781524769604.0,,10.99,5,"Everything, Everything (An Indies Introduce Title)",,Young Adult
236,Kimberly Brubaker Bradley,9780147510488.0,,8.99,6,The War That Saved My Life,,Early & Middle
237,Dan Brown,9780385514231.0,3.0,29.95,6,Origin,15.0,Hardcover Fiction
238,Mary Beard,9781631494758.0,5.0,15.95,6,Women & Power,5.0,Hardcover Nonfiction
239,Liane Moriarty,9780451490049.0,6.0,9.99,6,The Husband's Secret,26.0,Mass Market
240,Rupi Kaur,9781449486792.0,3.0,16.99,6,The Sun and Her Flowers,15.0,Trade Paperback Fiction
241,Jonah Berger,9781476759739.0,5.0,16.0,6,Invisible Influence,30.0,Trade Paperback Nonfiction
242,Marissa Meyer,9781250044662.0,,19.99,6,Renegades,,Young Adult
243,Katherine Applegate,9781250043221.0,,16.99,7,Wishtree,,Early & Middle
244,Andy Weir,9780553448122.0,6.0,27.0,7,Artemis,9.0,Hardcover Fiction
245,Ron Chernow,9781594204876.0,7.0,40.0,7,Grant,14.0,Hardcover Nonfiction
246,Steve Berry,9781250058461.0,,9.99,7,The Lost Order- Debut,1.0,Mass Market
247,Rupi Kaur,9781449474256.0,1.0,14.99,7,Milk and Honey,71.0,Trade Paperback Fiction
248,Timothy Snyder,9780804190114.0,9.0,7.99,7,On Tyranny,44.0,Trade Paperback Nonfiction
249,John Green,9780525428022.0,,19.99,7,Looking for Alaska,,Young Adult
250,Pete Souza,9780316514392.0,,21.99,8,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,,Early & Middle
251,Jennifer Egan,9781476716732.0,5.0,27.0,8,Manhattan Beach,15.0,Hardcover Fiction
252,Joe Biden,9781250171672.0,9.0,27.0,8,"Promise Me, Dad",9.0,Hardcover Nonfiction
253,Liane Moriarty,9780451490445.0,7.0,9.99,8,What Alice Forgot,2.0,Mass Market
254,Ernest Cline,9780307887443.0,9.0,16.0,8,Ready Player One,23.0,Trade Paperback Fiction
255,Matthew Desmond,9780553447453.0,8.0,17.0,8,Evicted,35.0,Trade Paperback Nonfiction
256,Markus Zusak,9780385754729.0,,12.99,8,The Book Thief,,Young Adult
257,Kimberly Brubaker Bradley,9780525429203.0,,16.99,9,The War I Finally Won,,Early & Middle
258,George Saunders,9780812995343.0,8.0,28.0,9,Lincoln in the Bardo,37.0,Hardcover Fiction
259,Ray Dalio,9781501124020.0,8.0,30.0,9,Principles: Life and Work,8.0,Hardcover Nonfiction
260,Agatha Christie,9780062693662.0,4.0,9.99,9,Murder on the Orient Express,11.0,Mass Market
261,Georgia Hunter,9780399563096.0,12.0,16.0,9,We Were the Lucky Ones,2.0,Trade Paperback Fiction
262,Harvard Business School Press,9781633690196.0,11.0,24.95,9,HBR's 10 Must Reads on Emotional Intelligence,72.0,Trade Paperback Nonfiction
263,Sherman Alexie,9780316013697.0,,15.99,9,The Absolutely True Diary of a Part-Time Indian,,Young Adult
264,Victoria Jamieson,9780803740167.0,,12.99,10,Roller Girl,,Early & Middle
265,Naomi Alderman,9780316547611.0,10.0,26.0,10,The Power,2.0,Hardcover Fiction
266,J.D. Vance,9780062300546.0,10.0,27.99,10,Hillbilly Elegy,72.0,Hardcover Nonfiction
267,Nicholas Sparks,9781478948377.0,9.0,8.99,10,Safe Haven,3.0,Mass Market
268,Shari Lapena,9780735221109.0,10.0,16.0,10,The Couple Next Door,33.0,Trade Paperback Fiction
269,Alexandra Horowitz,9781476796024.0,7.0,17.0,10,Being a Dog,13.0,Trade Paperback Nonfiction
