,Author,ISBN,Previous Rank,Price,Rank,Title,Weeks on List,Category
823, Harvard Business School Press ,  9781633690196,6,24.95 ,7,HBR's 10 Must Reads on Emotional Intelligence ,78,Trade Paperback Nonfiction
824, Harvard Business School Press ,  9781422157992,7,24.95 ,8,HBR's 10 Must Reads on Managing Yourself ,58,Trade Paperback Nonfiction
825, Matthew Desmond ,  9780553447453,8,17.00 ,9,Evicted ,41,Trade Paperback Nonfiction
826, Timothy Snyder ,  9780804190114,14,7.99 ,10,On Tyranny ,49,Trade Paperback Nonfiction
827, Simon Sinek ,  9781591846444,,16.00 ,11,Start With Why ,,Trade Paperback Nonfiction
828, Simon Sinek ,  9781591848011,,17.00 ,12,Leaders Eat Last ,3,Trade Paperback Nonfiction
829, Michael Lewis ,  9780393354775,13,16.95 ,13,The Undoing Project ,17,Trade Paperback Nonfiction
830, Douglas J. Preston ,  9781455540013,,15.99 ,14,The Lost City of the Monkey God ,,Trade Paperback Nonfiction
831, Amy Goldstein ,  9781501102264,,16.00 ,15,Janesville: An American Story ,1,Trade Paperback Nonfiction
832, Tayari Jones ,  9781616208776,,26.95 ,1,An American Marriage ,,Hardcover Fiction
833, Kristin Hannah ,  9780312577230,,28.99 ,2,The Great Alone ,,Hardcover Fiction
834, A.J. Finn ,  9780062678416,,26.99 ,3,The Woman in the Window ,,Hardcover Fiction
835, Amor Towles ,  9780670026197,5,27.00 ,4,A Gentleman in Moscow ,77,Hardcover Fiction
836, Celeste Ng ,  9780735224292,,27.00 ,5,Little Fires Everywhere ,,Hardcover Fiction
837, Chloe Benjamin ,  9780735213180,,26.00 ,6,The Immortalists ,,Hardcover Fiction
838, Jesmyn Ward ,  9781501126062,,26.00 ,7,"Sing, Unburied, Sing ",,Hardcover Fiction
839, Naomi Alderman ,  9780316547611,,26.00 ,8,The Power ,,Hardcover Fiction
840, Jojo Moyes ,  9780399562457,,27.00 ,9,Still Me ,,Hardcover Fiction
841, Dan Brown ,  9780385514231,,29.95 ,10,Origin ,,Hardcover Fiction
842, Matt Haig ,  9780525522874,15,26.00 ,11,How to Stop Time ,2,Hardcover Fiction
843, Jennifer Egan ,  9781476716732,,27.00 ,12,Manhattan Beach ,,Hardcover Fiction
844, Amy Bloom ,  9780812995664,,27.00 ,13,White Houses ,,Hardcover Fiction
845, Lisa Halliday ,  9781501166761,,26.00 ,14,Asymmetry ,1,Hardcover Fiction
846, Andy Weir ,  9780553448122,,27.00 ,15,Artemis ,14,Hardcover Fiction
847, Michael Wolff ,  9781250158062,,30.00 ,1,Fire and Fury ,,Hardcover Nonfiction
848, Neil deGrasse Tyson ,  9780393609394,2,18.95 ,2,Astrophysics for People in a Hurry ,43,Hardcover Nonfiction
849, Mark Manson ,  9780062457714,3,24.99 ,3,The Subtle Art of Not Giving A F*ck ,47,Hardcover Nonfiction
850, Tara Westover ,  9780399590504,,28.00 ,4,Educated: A Memoir ,1,Hardcover Nonfiction
851, Steven Pinker ,  9780525427575,,35.00 ,5,Enlightenment Now ,,Hardcover Nonfiction
852, Walter Isaacson ,  9781501139154,,35.00 ,6,Leonardo da Vinci ,,Hardcover Nonfiction
853, Jordan B. Peterson ,  9780345816023,,25.95 ,7,12 Rules for Life ,,Hardcover Nonfiction
854, Tiffany Haddish ,  9781501181825,,26.00 ,8,The Last Black Unicorn ,,Hardcover Nonfiction
855, J.D. Vance ,  9780062300546,9,27.99 ,9,Hillbilly Elegy ,78,Hardcover Nonfiction
856, David Grann ,  9780385534246,12,28.95 ,10,Killers of the Flower Moon ,34,Hardcover Nonfiction
857, Ray Dalio ,  9781501124020,14,30.00 ,11,Principles ,14,Hardcover Nonfiction
858, Dave Eggers ,  9781101947319,,28.95 ,12,The Monk of Mokha ,,Hardcover Nonfiction
859, Pete Souza ,  9780316512589,,50.00 ,13,Obama: An Intimate Portrait ,,Hardcover Nonfiction
860, Marilynne Robinson ,  9780374282219,,27.00 ,14,What Are We Doing Here?: Essays ,1,Hardcover Nonfiction
861, Zadie Smith ,  9781594206252,,28.00 ,15,Feel Free ,2,Hardcover Nonfiction
862, Lee Child ,  9780399593598,,9.99 ,1,No Middle Name ,,Mass Market
863, Ernest Cline ,  9780804190145,,9.99 ,2,Ready Player One ,,Mass Market
864, John Grisham ,  9781101967683,3,9.99 ,3,The Whistler ,33,Mass Market
865, Jason Matthews ,  9781501168918,,9.99 ,4,Red Sparrow ,1,Mass Market
866, James Patterson ,  9781478944782,,9.99 ,5,Never Never ,,Mass Market
867, George Orwell ,  9780451524935,10,9.99 ,6,1984 ,176,Mass Market
868, Liane Moriarty ,  9780451490049,5,9.99 ,7,The Husband's Secret ,32,Mass Market
869, Michael Crichton ,  9780062473363,,9.99 ,8,Dragon Teeth ,,Mass Market
870, Danielle Steel ,  9781101883938,,8.99 ,9,Against All Odds ,,Mass Market
871, Liane Moriarty ,  9780451490445,,9.99 ,10,What Alice Forgot ,,Mass Market
872, Madeleine L'Engle ,  9781250153272,,8.99 ,1,A Wrinkle in Time ,,Early & Middle
873, R.J. Palacio ,  9781524720193,,16.99 ,2,Wonder ,,Early & Middle
874, R.J. Palacio ,  9781101934852,,16.99 ,3,Auggie & Me ,,Early & Middle
875, Kelly Barnhill ,  9781616205676,,16.95 ,4,The Girl Who Drank the Moon ,,Early & Middle
876, Raina Telgemeier ,  9780545326995,,10.99 ,5,Drama ,,Early & Middle
877, Kimberly Brubaker Bradley ,  9780147510488,,8.99 ,6,The War That Saved My Life ,,Early & Middle
878, Ronald L. Smith ,  9781484787649,,16.99 ,7,Black Panther: The Young Prince ,,Early & Middle
879, Raina Telgemeier ,  9780545540605,,10.99 ,8,Sisters ,,Early & Middle
880, Raina Telgemeier ,  9780545132060,,10.99 ,9,Smile ,,Early & Middle
881, Jim McCann ,  9780316413206,,6.99 ,10,Marvel's Black Panther: The Junior Novel ,,Early & Middle
882, Victoria Jamieson ,  9780525429999,,12.99 ,11,All's Faire in Middle School ,,Early & Middle
883, Kimberly Brubaker Bradley ,  9780525429203,,16.99 ,12,The War I Finally Won ,,Early & Middle
884, Raina Telgemeier ,  9780545540629,,10.99 ,13,Ghosts ,,Early & Middle
885, Erin Entrada Kelly ,  9780062414151,,16.99 ,14,"Hello, Universe ",,Early & Middle
886, Katherine Applegate ,  9781250043221,,16.99 ,15,Wishtree ,,Early & Middle
887, Angie Thomas ,  9780062498533,,17.99 ,1,The Hate U Give ,,Young Adult
888, John Green ,  9780525555360,,19.99 ,2,Turtles All the Way Down ,,Young Adult
889, David Levithan ,  9780525581611,,10.99 ,3,Every Day ,,Young Adult
890, Becky Albertalli ,  9780062792167,,10.99 ,4,Simon vs. the Homo Sapiens Agenda ,,Young Adult
891, Jen Wang ,  9781626723634,,16.99 ,5,The Prince and the Dressmaker ,,Young Adult
892, Philip Pullman ,  9780375815300,,22.99 ,6,The Book of Dust: La Belle Sauvage ,,Young Adult
893, Nicola Yoon ,  9781524769604,,10.99 ,7,"Everything, Everything ",,Young Adult
894, Tamora Pierce ,  9780375847110,,18.99 ,8,Tempests and Slaughter ,,Young Adult
895, Karen M. McManus ,  9781524714680,,17.99 ,9,One of Us Is Lying ,,Young Adult
896, Markus Zusak ,  9780385754729,,12.99 ,10,The Book Thief ,,Young Adult
897, Nic Stone ,  9781101939499,,17.99 ,11,Dear Martin ,,Young Adult
898, John Green ,  9780142424179,,12.99 ,12,The Fault in Our Stars ,,Young Adult
899, Marie Lu ,  9780399547966,,18.99 ,13,Warcross ,,Young Adult
900, Holly Black ,  9780316310277,,18.99 ,14,The Cruel Prince ,,Young Adult
901, Nicola Yoon ,  9780553496680,,18.99 ,15,The Sun Is Also a Star ,,Young Adult
