Week,Author,Title,Price,ISBN,Rank,Category
2,Alexandra Horowitz,Being a Dog,17.0,9781476796024.0,7,Trade Paperback Nonfiction
2,Matthew Desmond,Evicted,17.0,9780553447453.0,8,Trade Paperback Nonfiction
2,Timothy Snyder,On Tyranny,7.99,9780804190114.0,9,Trade Paperback Nonfiction
2,Michael Lewis,The Undoing Project,16.95,9780393354775.0,10,Trade Paperback Nonfiction
2,Harvard Business School Press,HBR's 10 Must Reads on Emotional Intelligence,24.95,9781633690196.0,11,Trade Paperback Nonfiction
2,Harvard Business School Press,HBR's 10 Must Reads on Managing Yourself,24.95,9781422157992.0,12,Trade Paperback Nonfiction
2,Robert Moor,On Trails,16.0,9781476739236.0,13,Trade Paperback Nonfiction
2,Luke Harding,Collusion,16.95,9780525562511.0,14,Trade Paperback Nonfiction
2,Chimamanda Ngozi Adichie,We Should All Be Feminists,7.95,9781101911761.0,15,Trade Paperback Nonfiction
2,John Green,Turtles All the Way Down,19.99,9780525555360.0,1,Young Adult
2,Angie Thomas,The Hate U Give,17.99,9780062498533.0,2,Young Adult
2,Philip Pullman,The Book of Dust: La Belle Sauvage,22.99,9780375815300.0,3,Young Adult
2,Holly Black,The Cruel Prince,18.99,9780316310277.0,4,Young Adult
2,Marissa Meyer,Renegades,19.99,9781250044662.0,5,Young Adult
2,Nicola Yoon,"Everything, Everything (An Indies Introduce Title)",10.99,9781524769604.0,6,Young Adult
2,Marie Lu,Warcross,18.99,9780399547966.0,7,Young Adult
2,Neal Shusterman,Scythe,11.99,9781442472433.0,8,Young Adult
2,John Green,The Fault in Our Stars,12.99,9780142424179.0,9,Young Adult
2,Markus Zusak,The Book Thief,12.99,9780385754729.0,10,Young Adult
2,Veronica Roth,Carve the Mark,12.99,9780062348647.0,11,Young Adult
2,John Green,Looking for Alaska,19.99,9780525428022.0,12,Young Adult
2,Robin Benway,Far From the Tree,17.99,9780062330628.0,13,Young Adult
2,Karen M. McManus,One of Us Is Lying,17.99,9781524714680.0,14,Young Adult
2,Nic Stone,Dear Martin,17.99,9781101939499.0,15,Young Adult
3,Madeleine L'Engle,A Wrinkle in Time,8.99,9781250153272.0,1,Early & Middle
3,R.J. Palacio,Wonder,16.99,9781524720193.0,2,Early & Middle
3,R.J. Palacio,Auggie & Me,16.99,9781101934852.0,3,Early & Middle
3,Victoria Jamieson,All's Faire in Middle School,12.99,9780525429999.0,4,Early & Middle
3,Kelly Barnhill,The Girl Who Drank the Moon,16.95,9781616205676.0,5,Early & Middle
3,Kimberly Brubaker Bradley,The War That Saved My Life,8.99,9780147510488.0,6,Early & Middle
3,Katherine Applegate,Wishtree,16.99,9781250043221.0,7,Early & Middle
3,Pete Souza,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,21.99,9780316514392.0,8,Early & Middle
3,Kimberly Brubaker Bradley,The War I Finally Won,16.99,9780525429203.0,9,Early & Middle
3,Victoria Jamieson,Roller Girl,12.99,9780803740167.0,10,Early & Middle
3,Sara Pennypacker & Jon Klassen (Illus.),Pax,16.99,9780062377012.0,11,Early & Middle
3,Raina Telgemeier,Drama,10.99,9780545326995.0,12,Early & Middle
3,Raina Telgemeier,Sisters,10.99,9780545540605.0,13,Early & Middle
3,Vashti Harrison,Little Leaders: Bold Women in Black History- Debut,16.99,9780316475112.0,14,Early & Middle
3,Raina Telgemeier,Ghosts,10.99,9780545540629.0,15,Early & Middle
3,Jesmyn Ward,"Sing, Unburied, Sing",26.0,9781501126062.0,1,Hardcover Fiction
3,Chloe Benjamin,The Immortalists- Debut,26.0,9780735213180.0,2,Hardcover Fiction
3,A.J. Finn,The Woman in the Window,26.99,9780062678416.0,3,Hardcover Fiction
3,Celeste Ng,Little Fires Everywhere,27.0,9780735224292.0,4,Hardcover Fiction
3,Amor Towles,A Gentleman in Moscow,27.0,9780670026197.0,5,Hardcover Fiction
3,Dan Brown,Origin,29.95,9780385514231.0,6,Hardcover Fiction
3,Andy Weir,Artemis,27.0,9780553448122.0,7,Hardcover Fiction
3,Jennifer Egan,Manhattan Beach,27.0,9781476716732.0,8,Hardcover Fiction
3,George Saunders,Lincoln in the Bardo,28.0,9780812995343.0,9,Hardcover Fiction
3,Naomi Alderman,The Power,26.0,9780316547611.0,10,Hardcover Fiction
3,John Grisham,The Rooster Bar,28.95,9780385541176.0,11,Hardcover Fiction
3,Greer Hendricks,The Wife Between Us- Debut,26.99,9781250130921.0,12,Hardcover Fiction
3,Lee Child,The Midnight Line,28.99,9780399593482.0,13,Hardcover Fiction
3,Tom Hanks,Uncommon Type,26.95,9781101946152.0,14,Hardcover Fiction
3,Mohsin Hamid,Exit West,26.0,9780735212176.0,15,Hardcover Fiction
