index_number,x1,x2,x3,x4,y
16504,-0.733333,0.9,1.4,0.1,1.70065022
16505,-0.7,0.9,1.4,0.1,1.66488588
16506,-0.666667,0.9,1.4,0.1,1.6292607
16507,-0.633333,0.9,1.4,0.1,1.5937684
16508,-0.6,0.9,1.4,0.1,1.55840336
16509,-0.566667,0.9,1.4,0.1,1.52315836
16510,-0.533333,0.9,1.4,0.1,1.48802576
16511,-0.5,0.9,1.4,0.1,1.45299548
16512,-0.466667,0.9,1.4,0.1,1.41805858
16513,-0.433333,0.9,1.4,0.1,1.38320478
16514,-0.4,0.9,1.4,0.1,1.348424
16515,-0.366667,0.9,1.4,0.1,1.31370624
16516,-0.333333,0.9,1.4,0.1,1.27904208
16517,-0.3,0.9,1.4,0.1,1.2444232
16518,-0.266667,0.9,1.4,0.1,1.2098424
16519,-0.233333,0.9,1.4,0.1,1.17529408
16520,-0.2,0.9,1.4,0.1,1.14077472
16521,-0.166667,0.9,1.4,0.1,1.10628262
16522,-0.133333,0.9,1.4,0.1,1.07181832
16523,-0.1,0.9,1.4,0.1,1.0373848
16524,-0.066667,0.9,1.4,0.1,1.00298714
16525,-0.033333,0.9,1.4,0.1,0.96863274
16526,0.0,0.9,1.4,0.1,0.93433134
16527,0.033333,0.9,1.4,0.1,0.90009458
16528,0.066667,0.9,1.4,0.1,0.86593596
16529,0.1,0.9,1.4,0.1,0.83187048
16530,0.133333,0.9,1.4,0.1,0.7979136
